,data,ativo_total,patrimonio_liq,vlr_patrimonial_acao,acoes_ordinarias,acoes_preferenciais,acoes_preferenciais.1,total,acoes_ordinarias_tesouraria,acoes_preferenciais_tesouraria,acoes_preferenciais_tesouraria.1,total_tesouraria,acoes_ordinarias_excecao,acoes_preferenciais_excecao,total_excecao,ticker
77,31/03/2005,"R$ 126,29 B","R$ 8,23 B","R$ 2,53",1.206.399.000,2.046.936.000,2.046.936.000,3.253.335.000,0,28.776.000,28.776.000,28.776.000,1.206.399.000,2.018.160.000,3.224.559.000,3
78,31/12/2004,"R$ 130,70 B","R$ 7,92 B","R$ 2,45",1.184.644.000,2.041.959.000,2.041.959.000,3.226.603.000,13.000,31.796.000,31.796.000,31.809.000,1.184.631.000,2.010.163.000,3.194.794.000,3
79,30/09/2004,"R$ 122,33 B","R$ 7,64 B","R$ 2,37",1.184.644.000,2.041.959.000,2.041.959.000,3.226.603.000,0,18.516.000,18.516.000,18.516.000,1.184.644.000,2.023.443.000,3.208.087.000,3
80,30/06/2004,"R$ 122,47 B","R$ 7,43 B","R$ 2,30",1.184.644.000,2.041.959.000,2.041.959.000,3.226.603.000,0,13.152.000,13.152.000,13.152.000,1.184.644.000,2.028.807.000,3.213.451.000,3
81,31/03/2004,"R$ 110,18 B","R$ 7,10 B","R$ 2,20",1.184.644.000,2.041.959.000,2.041.959.000,3.226.603.000,0,5.000.000,5.000.000,5.000.000,1.184.644.000,2.036.959.000,3.221.603.000,3
82,31/12/2003,"R$ 116,58 B","R$ 6,65 B","R$ 2,11",1.156.079.000,1.992.724.000,1.992.724.000,3.148.803.000,0,0,0,0,1.156.079.000,1.992.724.000,3.148.803.000,3
83,30/09/2003,"R$ 114,65 B","R$ 6,39 B","R$ 2,03",1.156.079.000,1.992.724.000,1.992.724.000,3.148.803.000,0,0,0,0,1.156.079.000,1.992.724.000,3.148.803.000,3
84,30/06/2003,"R$ 102,49 B","R$ 5,91 B","R$ 1,88",1.156.079.000,1.992.724.000,1.992.724.000,3.148.803.000,0,0,0,0,1.156.079.000,1.992.724.000,3.148.803.000,3
85,31/03/2003,"R$ 90,27 B","R$ 5,63 B","R$ 1,79",1.156.079.000,1.992.724.000,1.992.724.000,3.148.803.000,0,0,0,0,1.156.079.000,1.992.724.000,3.148.803.000,3
86,31/12/2002,"R$ 82,85 B","R$ 5,23 B","R$ 1,70",1.127.332.000,1.943.173.000,1.943.173.000,3.070.505.000,0,0,0,0,1.127.332.000,1.943.173.000,3.070.505.000,3
87,30/09/2002,"R$ 84,86 B","R$ 5,05 B","R$ 1,65",1.127.332.000,1.943.173.000,1.943.173.000,3.070.505.000,0,0,0,0,1.127.332.000,1.943.173.000,3.070.505.000,3
88,30/06/2002,"R$ 5,49 B","R$ 5,07 B","R$ 1,65",1.127.332.000,1.943.173.000,1.943.173.000,3.070.505.000,0,0,0,0,1.127.332.000,1.943.173.000,3.070.505.000,3
89,31/03/2002,"R$ 5,14 B","R$ 4,72 B","R$ 1,59",1.090.163.000,1.882.798.000,1.882.798.000,2.972.961.000,0,0,0,0,1.090.163.000,1.882.798.000,2.972.961.000,3
90,31/12/2001,"R$ 72,28 B","R$ 4,11 B","R$ 1,38",1.090.163.000,1.882.798.000,1.882.798.000,2.972.961.000,0,0,0,0,1.090.163.000,1.882.798.000,2.972.961.000,3
91,30/06/2001,"R$ 4,69 B","R$ 4,36 B","R$ 1,47",1.090.163.000,1.882.798.000,1.882.798.000,2.972.961.000,0,0,0,0,1.090.163.000,1.882.798.000,2.972.961.000,3
92,31/03/2001,"R$ 4,42 B","R$ 4,09 B","R$ 1,38",1.090.163.000,1.882.798.000,1.882.798.000,2.972.961.000,0,0,0,0,1.090.163.000,1.882.798.000,2.972.961.000,3
93,31/12/2000,"R$ 4,19 B","R$ 3,86 B","R$ 1,33",1.065.200.000,1.839.684.000,1.839.684.000,2.904.884.000,0,0,0,0,1.065.200.000,1.839.684.000,2.904.884.000,3
